Date,Open,High,Low,Close,Adj Close,Volume,Class
4/17/2020,,,,,,,Test
4/18/2020,,,,,,,Test
4/19/2020,,,,,,,Test
4/20/2020,,,,,,,Test
4/21/2020,,,,,,,Test
4/22/2020,,,,,,,Test
4/23/2020,,,,,,,Test
4/24/2020,,,,,,,Test
4/25/2020,,,,,,,Test
4/26/2020,,,,,,,Test
4/27/2020,,,,,,,Test
4/28/2020,,,,,,,Test
4/29/2020,,,,,,,Test
4/30/2020,,,,,,,Test
5/1/2020,,,,,,,Test
5/2/2020,,,,,,,Test
5/3/2020,,,,,,,Test
5/4/2020,,,,,,,Test
5/5/2020,,,,,,,Test
5/6/2020,,,,,,,Test
5/7/2020,,,,,,,Test
5/8/2020,,,,,,,Test
5/9/2020,,,,,,,Test
5/10/2020,,,,,,,Test
5/11/2020,,,,,,,Test
5/12/2020,,,,,,,Test
5/13/2020,,,,,,,Test
5/14/2020,,,,,,,Test
5/15/2020,,,,,,,Test
5/16/2020,,,,,,,Test
5/17/2020,,,,,,,Test
5/18/2020,,,,,,,Test
5/19/2020,,,,,,,Test
5/20/2020,,,,,,,Test
5/21/2020,,,,,,,Test
5/22/2020,,,,,,,Test
5/23/2020,,,,,,,Test
5/24/2020,,,,,,,Test
5/25/2020,,,,,,,Test
5/26/2020,,,,,,,Test
5/27/2020,,,,,,,Test
5/28/2020,,,,,,,Test
5/29/2020,,,,,,,Test
5/30/2020,,,,,,,Test
5/31/2020,,,,,,,Test
6/1/2020,,,,,,,Test
6/2/2020,,,,,,,Test
6/3/2020,,,,,,,Test
6/4/2020,,,,,,,Test
6/5/2020,,,,,,,Test
6/6/2020,,,,,,,Test
6/7/2020,,,,,,,Test
6/8/2020,,,,,,,Test
6/9/2020,,,,,,,Test
6/10/2020,,,,,,,Test
6/11/2020,,,,,,,Test
6/12/2020,,,,,,,Test
6/13/2020,,,,,,,Test
6/14/2020,,,,,,,Test
6/15/2020,,,,,,,Test
6/16/2020,,,,,,,Test
6/17/2020,,,,,,,Test
6/18/2020,,,,,,,Test
6/19/2020,,,,,,,Test
6/20/2020,,,,,,,Test
6/21/2020,,,,,,,Test
6/22/2020,,,,,,,Test
6/23/2020,,,,,,,Test
6/24/2020,,,,,,,Test
6/25/2020,,,,,,,Test
6/26/2020,,,,,,,Test
6/27/2020,,,,,,,Test
6/28/2020,,,,,,,Test
6/29/2020,,,,,,,Test
6/30/2020,,,,,,,Test
7/1/2020,,,,,,,Test
7/2/2020,,,,,,,Test
7/3/2020,,,,,,,Test
7/4/2020,,,,,,,Test
7/5/2020,,,,,,,Test
7/6/2020,,,,,,,Test
7/7/2020,,,,,,,Test
7/8/2020,,,,,,,Test
